X;Activation1(X);Activation2(X)
-6.250000e-02;1.007813e+00;3.968750e+00
0.000000e+00;5.000000e-01;0.000000e+00
6.250000e-02;5.156250e-01;3.125000e-02
1.250000e-01;5.312500e-01;6.250000e-02
1.875000e-01;5.471191e-01;9.399414e-02
2.500000e-01;5.627441e-01;1.252441e-01
3.125000e-01;5.786133e-01;1.567383e-01
3.750000e-01;5.942383e-01;1.879883e-01
4.375000e-01;6.101074e-01;2.194824e-01
5.000000e-01;6.257324e-01;2.507324e-01
5.625000e-01;6.413574e-01;2.819824e-01
6.250000e-01;6.572266e-01;3.134766e-01
6.875000e-01;6.728516e-01;3.447266e-01
7.500000e-01;6.887207e-01;3.762207e-01
8.125000e-01;7.043457e-01;4.074707e-01
8.750000e-01;7.202148e-01;4.389648e-01
9.375000e-01;7.358398e-01;4.702148e-01
1.000000e+00;7.517090e-01;5.017090e-01
1.062500e+00;7.670898e-01;5.327148e-01
1.125000e+00;7.827148e-01;5.639648e-01
1.187500e+00;7.985840e-01;5.954590e-01
1.250000e+00;8.142090e-01;6.267090e-01
1.312500e+00;8.298340e-01;6.579590e-01
1.375000e+00;8.457031e-01;6.894531e-01
1.437500e+00;8.613281e-01;7.207031e-01
1.500000e+00;8.771973e-01;7.521973e-01
1.562500e+00;8.928223e-01;7.834473e-01
1.625000e+00;9.084473e-01;8.146973e-01
1.687500e+00;9.243164e-01;8.461914e-01
1.750000e+00;9.399414e-01;8.774414e-01
1.812500e+00;9.555664e-01;9.086914e-01
1.875000e+00;9.714355e-01;9.401855e-01
1.937500e+00;9.870605e-01;9.714355e-01
2.000000e+00;2.529297e-01;1.002930e+00
2.062500e+00;2.680664e-01;1.033691e+00
2.125000e+00;2.836914e-01;1.064941e+00
2.187500e+00;2.993164e-01;1.096191e+00
2.250000e+00;3.151855e-01;1.127686e+00
2.312500e+00;3.308105e-01;1.158936e+00
2.375000e+00;3.464355e-01;1.190186e+00
2.437500e+00;3.623047e-01;1.221680e+00
2.500000e+00;3.779297e-01;1.252930e+00
2.562500e+00;3.935547e-01;1.284180e+00
2.625000e+00;4.094238e-01;1.315674e+00
2.687500e+00;4.250488e-01;1.346924e+00
2.750000e+00;4.406738e-01;1.378174e+00
2.812500e+00;4.565430e-01;1.409668e+00
2.875000e+00;4.721680e-01;1.440918e+00
2.937500e+00;4.877930e-01;1.472168e+00
3.000000e+00;1.286621e-01;1.503662e+00
3.062500e+00;1.435547e-01;1.534180e+00
3.125000e+00;1.591797e-01;1.565430e+00
